activity_id,master_code,activity_title,city_name,country_name,image_number,quality_score,pix_url,rank
1262376,1045267,SkyPoint Observation Deck Ticket,Gold Coast,Australia,7,89,https://pix6.agoda.net/generic/482893bee88d9523ce40dff583e14dd1.jpeg?ce=2,7
1262377,1044784,Featherdale Wildlife Park,Sydney,Australia,1,94,https://pix6.agoda.net/generic/35f74861f636d44b5c7f49cd4737e0c3.jpeg?ce=0,1
1262377,1044784,Featherdale Wildlife Park,Sydney,Australia,2,94,https://pix6.agoda.net/generic/b93b985fb56bedb749fc252391bc2b21.jpeg?ce=0,2
1262377,1044784,Featherdale Wildlife Park,Sydney,Australia,3,94,https://pix6.agoda.net/generic/c3d8cd03c1c2b7769c1e07de39195f31.jpeg?ce=0,3
1262377,1044784,Featherdale Wildlife Park,Sydney,Australia,4,94,https://pix6.agoda.net/generic/86e11e6809e4bb12ee51acb3b9915f99.jpeg?ce=0,4
1262377,1044784,Featherdale Wildlife Park,Sydney,Australia,5,93,https://pix6.agoda.net/generic/0a016324a73d87cab87df8058c0e3780.jpeg?ce=0,5
1262377,1044784,Featherdale Wildlife Park,Sydney,Australia,6,92,https://pix6.agoda.net/generic/75ac2d3868f7d6544f88720484821e52.jpeg?ce=0,6
1262377,1044784,Featherdale Wildlife Park,Sydney,Australia,7,92,https://pix6.agoda.net/generic/bb8871c785c7d690d061c8c38121903e.jpeg?ce=0,7
1262377,1044784,Featherdale Wildlife Park,Sydney,Australia,8,91,https://pix6.agoda.net/generic/8795889bacb9a6ee0e62b04bf4da7000.jpeg?ce=0,8
1262492,1040761,Taronga Zoo Ticket with Optional Round Trip Ferry,Sydney,Australia,1,96,https://pix6.agoda.net/generic/2c9bdba992c8e374efa802ecf7241675.jpeg?ce=3,1
1262492,1040761,Taronga Zoo Ticket with Optional Round Trip Ferry,Sydney,Australia,2,94,https://pix6.agoda.net/generic/afad877a8ff7d3b10fc5a33ee5b79093.jpeg?ce=3,2
1262492,1040761,Taronga Zoo Ticket with Optional Round Trip Ferry,Sydney,Australia,3,94,https://pix6.agoda.net/generic/75d84d39486a8600d2531a3dde7c5208.png?ce=3,3
1262492,1040761,Taronga Zoo Ticket with Optional Round Trip Ferry,Sydney,Australia,4,93,https://pix6.agoda.net/generic/27db1cf790b4ca286551e961bb9b942b.jpeg?ce=3,4
1262492,1040761,Taronga Zoo Ticket with Optional Round Trip Ferry,Sydney,Australia,5,92,https://pix6.agoda.net/generic/d890657a9402aa1e7a95dfb19314d279.jpeg?ce=0,5
1262492,1040761,Taronga Zoo Ticket with Optional Round Trip Ferry,Sydney,Australia,6,91,https://pix6.agoda.net/generic/8c36a9c99e6096023503845e7662dc12.jpeg?ce=3,6
1262492,1040761,Taronga Zoo Ticket with Optional Round Trip Ferry,Sydney,Australia,7,91,https://pix6.agoda.net/generic/2248ae9ab22d7ffe981f193205305ad1.jpeg?ce=0,7
